Group,Biomass,PB,QB,Diet,F_Trawl,F_Codpot,F_Longline,F_Halibut,F_Crabpot,F_Salmon,F_Herring,F_Indigenous,F_Subsistence
Transient.killer.whales,0.8,0.3,0.6,0.8,0,0,0,0,0,0,0,0,0
Toothed.whales,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0.1,0
Gray.whales,0.5,0.6,0.6,0.8,0,0,0,0,0,0,0,0,0
Baleen.whales,0.8,0.6,0.6,0.8,0,0,0,0,0,0,0,0.1,0
Pinnipeds,0.5,0.6,0.8,0.7,0,0,0,0,0,0,0,0.1,0
Walrus.bd.seals,0.5,0.6,0.6,0.7,0,0,0,0,0,0,0,0.1,0
N.fur.seal_Juv,0.5,0.4,0.7,0.7,0,0,0,0,0,0,0,0,0
N.fur.seal_Adu,0.5,0.4,0.8,0.7,0,0,0,0,0,0,0,0.1,0
Ice.seals,0.5,0.6,0.6,0.7,0,0,0,0,0,0,0,0.1,0
Oth.birds,0.8,0.6,0.6,0.8,0.5,0,0.5,0,0,0,0,0,0
Murres.puffins,0.5,0.6,0.6,0.8,0.5,0,0.5,0,0,0,0,0,0
Kittiwakes,0.5,0.6,0.6,0.8,0.5,0,0.5,0,0,0,0,0,0
Auklets,0.5,0.6,0.6,0.8,0.5,0,0.5,0,0,0,0,0,0
Fulmars,0.5,0.6,0.6,0.8,0.5,0,0.5,0,0,0,0,0,0
Albatross,0.8,0.6,0.6,0.8,0.5,0,0.5,0,0,0,0,0,0
Sharks,0.5,0.7,0.7,0.8,0.5,0,0.5,0,0,0,0,0,0
W.pollock_Juv,0.5,0.4,0.4,0.1,0,0,0,0,0,0,0,0,0
W.pollock_Adu,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
P.cod_Juv,0.8,0.4,0.4,0.1,0,0,0,0,0,0,0,0,0
P.cod_Adu,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
Herring,0.5,0.3,0.3,0.6,0,0,0,0,0,0,0.1,0,0
Arrowtooth_Juv,0.8,0.5,0.8,0.1,0,0,0,0,0,0,0,0,0
Arrowtooth_Adu,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0
Kamchatka,0.5,0.5,0.8,0.3,0,0,0,0,0,0,0,0,0
Gr.Turbot_Juv,0.8,0.6,0.6,0.3,0,0,0,0,0,0,0,0,0
Gr.Turbot_Adu,0.1,0.5,0.8,0.1,0.1,0.1,0.1,0,0,0,0,0,0
P.halibut_Juv,0.8,0.6,0.6,0.1,0,0,0,0,0,0,0,0,0
P.halibut_Adu,0.1,0.5,0.8,0.1,0,0,0.1,0.1,0,0,0,0,0
YF.sole,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
FH.sole,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0
N.Rock.sole,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0
AK.Plaice,0.1,0.6,0.6,0.1,0.1,0.1,0.1,0,0,0,0,0,0
Other.flatfish,0.8,0.6,0.6,0.7,0.1,0.1,0.1,0,0,0,0,0,0
Skates,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0,0,0,0,0,0
Sablefish,0.1,0.5,0.8,0.1,0.1,0.1,0.1,0.5,0,0,0,0,0
Eelpouts,0.8,0.7,0.7,0.8,0,0,0,0,0,0,0,0,0
Deep.demersals,0.8,0.7,0.7,0.8,0.5,0.5,0.5,0,0,0,0,0,0
POP,0.5,0.4,0.4,0.1,0.1,0.1,0.1,0,0,0,0,0,0
Oth.rockfish,0.8,0.6,0.6,0.7,0.1,0.1,0.1,0,0,0,0,0,0
North.rockfish,0.8,0.6,0.6,0.3,0.1,0.1,0.1,0,0,0,0,0,0
Shortraker.rock,0.8,0.6,0.6,0.3,0.1,0,0.1,0,0,0,0,0,0
Rougheye.rock,0.8,0.6,0.6,0.3,0.1,0,0.1,0,0,0,0,0,0
Atka.mackerel,0.5,0.5,0.8,0.3,0.1,0.1,0.1,0,0,0,0,0,0
Shallow.demersals,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0,0,0,0,0,0
